Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,07/07/2026,"M&M HELTON ENTERPRIS HOTPROSPECTOR NV        07/07",-372.75,DEBIT_CARD,30054.44,,
DEBIT,07/07/2026,"IDEOGRAM AI TORONTO ON                       07/06",-20.00,DEBIT_CARD,30427.19,,
CREDIT,07/07/2026,"ORIG CO NAME:STRIPE                 ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:111000022574857 EED:260707   IND ID:ST-K5Z8E2M9Y4S4              IND NAME:GABRIEL GOERTZEN TRN: 1882574857TC",2912.70,ACH_CREDIT,30447.19,,
CREDIT,07/07/2026,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: Waiz Media/Waiz Media Via WISE REF: 1976762208-223116425 INFO: TEXT-RmtInf-2231164259Refund IID: 20260707021000021P1BRJPC02870010368 RECD: 12:47:19 TRN: 1200302188GC BREF: ce6534ab-0b60-4171-bbb6-68c3bab09ee",250.00,MISC_CREDIT,27534.49,,
DEBIT,07/06/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260706 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000025247393 EED:260706   IND ID:TrnWise                      IND NAME:Waiz Media                 99734078                                                                          99734078 TRN: 1875247393TC",-100.00,MISC_DEBIT,27284.49,,
DEBIT,07/06/2026,"ORIG CO NAME:fathom.video           ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:FATHOM.VIDSEC:WEB    TRACE#:091000015054795 EED:260706   IND ID:ST-G9D6E0C6Z5Z1              IND NAME:WAIZ MEDIA LLC TRN: 1875054795TC",-20.00,MISC_DEBIT,27384.49,,
DEBIT,07/06/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260706 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000021236879 EED:260706   IND ID:TrnWise                      IND NAME:Waiz Media                 99664125                                                                          99664125 TRN: 1871236879TC",-100.00,MISC_DEBIT,27404.49,,
DEBIT,07/06/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260706 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000021244061 EED:260706   IND ID:TrnWise                      IND NAME:Waiz Media                 99619302                                                                          99619302 TRN: 1871244061TC",-250.00,MISC_DEBIT,27504.49,,
DEBIT,07/06/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260706 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000021239345 EED:260706   IND ID:TrnWise                      IND NAME:Waiz Media                 99640751                                                                          99640751 TRN: 1871239345TC",-300.00,MISC_DEBIT,27754.49,,
DEBIT,07/06/2026,"PAYPAL *CANVA 416-131-8870 DE                07/05",-7.04,DEBIT_CARD,28054.49,,
DEBIT,07/06/2026,"TWILIO INC WWW.TWILIO.CO CA                  07/05",-91.79,DEBIT_CARD,28061.53,,
DEBIT,07/03/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260703 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000025010785 EED:260703   IND ID:TrnWise                      IND NAME:Waiz Media                 99564780                                                                          99564780 TRN: 1845010785TC",-100.00,MISC_DEBIT,28153.32,,
DEBIT,07/03/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              07/03",-100.00,DEBIT_CARD,28253.32,,
CREDIT,07/03/2026,"ORIG CO NAME:STRIPE                 ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:111000020606688 EED:260703   IND ID:ST-R1K5I5L9H1J0              IND NAME:GABRIEL GOERTZEN TRN: 1840606688TC",970.70,ACH_CREDIT,28353.32,,
DEBIT,07/02/2026,"ANTHROPIC* CLAUDE SU ANTHROPIC.COM CA        07/01",-20.00,DEBIT_CARD,27382.62,,
DEBIT,07/02/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    07/01",-40.29,DEBIT_CARD,27402.62,,
CREDIT,07/02/2026,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016431992 EED:260702   IND ID:ST-P0Y0P6M0Y6V9              IND NAME:GABRIEL GOERTZEN TRN: 1836431992TC",18646.18,ACH_CREDIT,27442.91,,
DEBIT,07/01/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260701 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000025621609 EED:260701   IND ID:TrnWise                      IND NAME:Waiz Media                 99329557                                                                          99329557 TRN: 1825621609TC",-100.00,MISC_DEBIT,8796.73,,
DEBIT,07/01/2026,"ORIG CO NAME:HIGGSFIELD INC.        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:HIGGSFIELDSEC:WEB    TRACE#:091000014611376 EED:260701   IND ID:ST-L5B2B3I8E7N7              IND NAME:WAIZ MEDIA LLC TRN: 1824611376TC",-49.00,MISC_DEBIT,8896.73,,
DEBIT,07/01/2026,"Zelle payment to Simone 29437612890",-43.00,QUICKPAY_DEBIT,8945.73,,
DEBIT,07/01/2026,"TWILIO INC WWW.TWILIO.CO CA                  06/30",-90.03,DEBIT_CARD,8988.73,,
CREDIT,07/01/2026,"ORIG CO NAME:STRIPE                 ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:111000028074146 EED:260701   IND ID:ST-E7H9Y0T2V5Y3              IND NAME:GABRIEL GOERTZEN TRN: 1828074146TC",2427.20,ACH_CREDIT,9078.76,,
DEBIT,06/30/2026,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,6651.56,,
DEBIT,06/30/2026,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 29818526092 reference#: 9818526092RX 06/30",-1000.00,ACCT_XFER,6666.56,,
DEBIT,06/30/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              06/30",-100.00,DEBIT_CARD,7666.56,,
DEBIT,06/30/2026,"WWW.MAKE.COM WWW.MAKE.COM NY                 06/30",-64.71,DEBIT_CARD,7766.56,,
DEBIT,06/29/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260629 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000023333619 EED:260629   IND ID:TrnWise                      IND NAME:Waiz Media                 99128854                                                                          99128854 TRN: 1803333619TC",-100.17,MISC_DEBIT,7831.27,,
DEBIT,06/29/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260629 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000029263333 EED:260629   IND ID:TrnWise                      IND NAME:Waiz Media                 99035140                                                                          99035140 TRN: 1809263333TC",-100.00,MISC_DEBIT,7931.44,,
DEBIT,06/29/2026,"ORIG CO NAME:HIGGSFIELD INC.        ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:HIGGSFIELDSEC:WEB    TRACE#:111000025995086 EED:260629   IND ID:ST-X0V9D8P5B0W3              IND NAME:WAIZ MEDIA LLC TRN: 1805995086TC",-26.00,MISC_DEBIT,8031.44,,
DEBIT,06/29/2026,"M&M HELTON ENTERPRIS HOTPROSPECTOR NV        06/29",-40.00,DEBIT_CARD,8057.44,,
DEBIT,06/29/2026,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:9493560001 DESC DATE:260629 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000023247646 EED:260629   IND ID:A0886                        IND NAME:GABRIEL GOERTZEN                                                                                             AM TRN: 1803247646TC",-2527.10,ACH_DEBIT,8097.44,,
DEBIT,06/29/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    06/28",-40.17,DEBIT_CARD,10624.54,,
DEBIT,06/29/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              06/27",-100.00,DEBIT_CARD,10664.71,,
DEBIT,06/29/2026,"M&M HELTON ENTERPRIS HOTPROSPECTOR NV        06/26",-40.00,DEBIT_CARD,10764.71,,
CREDIT,06/29/2026,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015754388 EED:260629   IND ID:ST-L0F1H9J8Q7K2              IND NAME:GABRIEL GOERTZEN TRN: 1805754388TC",2912.70,ACH_CREDIT,10804.71,,
DEBIT,06/26/2026,"WWW.MAKE.COM WWW.MAKE.COM NY                 06/25",-9.11,DEBIT_CARD,7892.01,,
DEBIT,06/26/2026,"TWILIO INC WWW.TWILIO.CO CA                  06/25",-90.93,DEBIT_CARD,7901.12,,
CREDIT,06/26/2026,"ORIG CO NAME:STRIPE                 ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:111000029538503 EED:260626   IND ID:ST-S9U1J6A4T0F7              IND NAME:GABRIEL GOERTZEN TRN: 1779538503TC",5389.87,ACH_CREDIT,7992.05,,
DEBIT,06/25/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    06/25",-72.30,DEBIT_CARD,2602.18,,
DEBIT,06/25/2026,"MAKEUGC.AI LONDON                            06/24",-49.00,DEBIT_CARD,2674.48,,
DEBIT,06/24/2026,"WWW.MAKE.COM WWW.MAKE.COM NY                 06/24",-10.13,DEBIT_CARD,2723.48,,
DEBIT,06/24/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    06/24",-40.40,DEBIT_CARD,2733.61,,
DEBIT,06/24/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              06/23",-100.00,DEBIT_CARD,2774.01,,
DEBIT,06/24/2026,"CURSOR, AI POWERED IDE CURSOR.COM CA         06/23",-60.00,DEBIT_CARD,2874.01,,
DEBIT,06/24/2026,"ARCADS.AI MONT-SAINT-AI                      06/23",-77.00,DEBIT_CARD,2934.01,,
DEBIT,06/24/2026,"CURSOR, AI POWERED I SAN FRANCISCO CA        06/23",14.61,DEBIT_CARD,3011.01,,
DEBIT,06/23/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260623 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000027256549 EED:260623   IND ID:TrnWise                      IND NAME:Waiz Media                 98715179                                                                          98715179 TRN: 1747256549TC",-200.34,MISC_DEBIT,2996.40,,
DEBIT,06/23/2026,"WWW.MAKE.COM WWW.MAKE.COM NY                 06/22",-10.13,DEBIT_CARD,3196.74,,
DEBIT,06/22/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260622 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000028607793 EED:260622   IND ID:TrnWise                      IND NAME:Waiz Media                 98470380                                                                          98470380 TRN: 1738607793TC",-158.27,MISC_DEBIT,3206.87,,
DEBIT,06/22/2026,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000019410734 EED:260622   IND ID:ST-A1L8Q0E5X2O8              IND NAME:GABRIEL GOERTZEN TRN: 1739410734TC",-200.00,ACH_DEBIT,3365.14,,
DEBIT,06/22/2026,"WWW.MAKE.COM WWW.MAKE.COM NY                 06/20",-10.13,DEBIT_CARD,3565.14,,
DEBIT,06/22/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              06/19",-100.00,DEBIT_CARD,3575.27,,
DEBIT,06/22/2026,"HIGHLEVEL AGENCY SUB GOHIGHLEVEL.C TX        06/18",-297.00,DEBIT_CARD,3675.27,,
DEBIT,06/22/2026,"WWW.MAKE.COM WWW.MAKE.COM NY                 06/18",-10.13,DEBIT_CARD,3972.27,,
DEBIT,06/22/2026,"TWILIO INC WWW.TWILIO.CO CA                  06/19",-91.17,DEBIT_CARD,3982.40,,
DEBIT,06/18/2026,"WISPR WISPRFLOW.AI CA                        06/17",-5.94,DEBIT_CARD,4073.57,,
DEBIT,06/17/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              06/17",-100.00,DEBIT_CARD,4079.51,,
DEBIT,06/17/2026,"WWW.MAKE.COM WWW.MAKE.COM NY                 06/17",-10.13,DEBIT_CARD,4179.51,,
DEBIT,06/17/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    06/16",-197.00,DEBIT_CARD,4189.64,,
DEBIT,06/16/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260616 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000027456199 EED:260616   IND ID:TrnWise                      IND NAME:Waiz Media                 98233082                                                                          98233082 TRN: 1677456199TC",-157.27,MISC_DEBIT,4386.64,,
DEBIT,06/16/2026,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 29639601200 reference#: 9639601200RX 06/16",-1000.00,ACCT_XFER,4543.91,,
DEBIT,06/16/2026,"CURSOR, AI POWERED IDE CURSOR.COM CA         06/15",-20.00,DEBIT_CARD,5543.91,,
DEBIT,06/15/2026,"ONLINE DOMESTIC WIRE FEE",-25.00,FEE_TRANSACTION,5563.91,,
DEBIT,06/15/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260615 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000021290999 EED:260615   IND ID:TrnWise                      IND NAME:Waiz Media                 98152629                                                                          98152629 TRN: 1661290999TC",-500.85,MISC_DEBIT,5588.91,,
DEBIT,06/15/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              06/15",-100.00,DEBIT_CARD,6089.76,,
DEBIT,06/15/2026,"WWW.MAKE.COM WWW.MAKE.COM NY                 06/15",-10.13,DEBIT_CARD,6189.76,,
DEBIT,06/15/2026,"ONLINE DOMESTIC WIRE TRANSFER VIA: COMMUNITY FSB/026073008 A/C: DANIELE URIAS BATEL PR 80250070 BR IMAD: 0615MMQFMP2L010691 TRN: 3339476166ES 06/15",-4000.00,WIRE_OUTGOING,6199.89,,
DEBIT,06/15/2026,"WWW.MAKE.COM WWW.MAKE.COM NY                 06/13",-10.13,DEBIT_CARD,10199.89,,
DEBIT,06/15/2026,"TWILIO INC WWW.TWILIO.CO CA                  06/14",-90.01,DEBIT_CARD,10210.02,,
DEBIT,06/12/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              06/12",-100.00,DEBIT_CARD,10300.03,,
DEBIT,06/12/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    06/12",-40.32,DEBIT_CARD,10400.03,,
DEBIT,06/12/2026,"WWW.MAKE.COM WWW.MAKE.COM NY                 06/11",-10.13,DEBIT_CARD,10440.35,,
CREDIT,06/11/2026,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000010190649 EED:260611   IND ID:ST-D7H7T4H6Q3L0              IND NAME:GABRIEL GOERTZEN TRN: 1620190649TC",3227.11,ACH_CREDIT,10450.48,,
DEBIT,06/10/2026,"TWILIO INC WWW.TWILIO.CO CA                  06/09",-90.04,DEBIT_CARD,7223.37,,
DEBIT,06/09/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260609 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000020721409 EED:260609   IND ID:TrnWise                      IND NAME:Waiz Media                 97747707                                                                          97747707 TRN: 1600721409TC",-4006.80,MISC_DEBIT,7313.41,,
DEBIT,06/08/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              06/08",-100.00,DEBIT_CARD,11320.21,,
DEBIT,06/08/2026,"ORIG CO NAME:fathom.video           ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:FATHOM.VIDSEC:WEB    TRACE#:091000014021194 EED:260608   IND ID:ST-Q3C2G7Y0O0Y4              IND NAME:WAIZ MEDIA LLC TRN: 1594021194TC",-20.00,MISC_DEBIT,11420.21,,
DEBIT,06/08/2026,"SLACK T07E9KEFKEH SLACK.COM CA               06/07",-61.25,DEBIT_CARD,11440.21,,
DEBIT,06/08/2026,"M&M HELTON ENTERPRIS HOTPROSPECTOR NV        06/07",-372.75,DEBIT_CARD,11501.46,,
DEBIT,06/08/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    06/05",-40.08,DEBIT_CARD,11874.21,,
DEBIT,06/05/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260605 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000020467825 EED:260605   IND ID:TrnWise                      IND NAME:Waiz Media                 97483840                                                                          97483840 TRN: 1560467825TC",-1502.55,MISC_DEBIT,11914.29,,
DEBIT,06/05/2026,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 29512313095 reference#: 9512313095RX 06/05",-1000.00,ACCT_XFER,13416.84,,
DEBIT,06/05/2026,"PAYPAL *CANVA 416-131-8870 DE                06/05",-7.28,DEBIT_CARD,14416.84,,
DEBIT,06/05/2026,"PAYPAL *ETSYIRELAND 08446593879              06/03",-6.74,DEBIT_CARD,14424.12,,
CREDIT,06/05/2026,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013404411 EED:260605   IND ID:ST-K9H9Q6H7J8R9              IND NAME:GABRIEL GOERTZEN TRN: 1563404411TC",1639.72,ACH_CREDIT,14430.86,,
CREDIT,06/05/2026,"REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-121000248  FROM: GABRIEL GOERTZEN/STRIPE PAYMENTS COMPAN REF: ST-HKT9QM7OKDYZTKA8N INFO: TEXT-RmtInf-ST-HKT9QM7OKDYZTKA8NZTE WAIZMEDIA LLC IID: 20260605121000248P1BPEAO80463396920 RECD: 14:52:26 TRN: 1703003156GE",6748.87,MISC_CREDIT,12791.14,,
DEBIT,06/04/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              06/04",-100.00,DEBIT_CARD,6042.27,,
DEBIT,06/04/2026,"IDEOGRAM AI TORONTO ON                       06/03",-20.00,DEBIT_CARD,6142.27,,
DEBIT,06/04/2026,"TWILIO INC WWW.TWILIO.CO CA                  06/04",-90.03,DEBIT_CARD,6162.27,,
CREDIT,06/04/2026,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000012451074 EED:260604   IND ID:ST-C3X1D3Y0I9J3              IND NAME:GABRIEL GOERTZEN TRN: 1552451074TC",1738.50,ACH_CREDIT,6252.30,,
DEBIT,06/03/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260603 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000020718835 EED:260603   IND ID:TrnWise                      IND NAME:Waiz Media                 97310272                                                                          97310272 TRN: 1540718835TC",-500.00,MISC_DEBIT,4513.80,,
CREDIT,06/03/2026,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000014070309 EED:260603   IND ID:ST-O8V3A2V7K7X9              IND NAME:GABRIEL GOERTZEN TRN: 1544070309TC",3648.64,ACH_CREDIT,5013.80,,
DEBIT,06/02/2026,"ANTHROPIC* CLAUDE SU ANTHROPIC.COM CA        06/01",-20.00,DEBIT_CARD,1365.16,,
DEBIT,06/01/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260601 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000022255426 EED:260601   IND ID:TrnWise                      IND NAME:Waiz Media                 97014186                                                                          97014186 TRN: 1522255426TC",-301.82,MISC_DEBIT,1385.16,,
DEBIT,06/01/2026,"ORIG CO NAME:HIGGSFIELD INC.        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:HIGGSFIELDSEC:WEB    TRACE#:091000013978092 EED:260601   IND ID:ST-M4V3C8R0A3K7              IND NAME:WAIZ MEDIA LLC TRN: 1523978092TC",-49.00,MISC_DEBIT,1686.98,,
DEBIT,06/01/2026,"Zelle payment to Cindi Walters JPM99cj5t94i",-1003.00,CHASE_TO_PARTNERFI,1735.98,,
DEBIT,06/01/2026,"Zelle payment to Walters JPM99cj5roiy",-1003.00,CHASE_TO_PARTNERFI,2738.98,,
DEBIT,06/01/2026,"Zelle payment to Simone 29034215037",-43.00,QUICKPAY_DEBIT,3741.98,,
DEBIT,06/01/2026,"WWW.MAKE.COM WWW.MAKE.COM NY                 05/30",-64.71,DEBIT_CARD,3784.98,,
DEBIT,06/01/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              05/30",-100.00,DEBIT_CARD,3849.69,,
DEBIT,06/01/2026,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 29413878579 reference#: 9413878579RX 06/01",-2000.00,ACCT_XFER,3949.69,,
DEBIT,06/01/2026,"M&M HELTON ENTERPRIS HOTPROSPECTOR NV        05/30",-40.00,DEBIT_CARD,5949.69,,
DEBIT,06/01/2026,"TWILIO INC WWW.TWILIO.CO CA                  05/30",-90.77,DEBIT_CARD,5989.69,,
DEBIT,05/29/2026,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,6080.46,,
DEBIT,05/29/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260529 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000020886020 EED:260529   IND ID:TrnWise                      IND NAME:Waiz Media                 96895990                                                                          96895990 TRN: 1490886020TC",-300.00,MISC_DEBIT,6095.46,,
DEBIT,05/29/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    05/29",-40.16,DEBIT_CARD,6395.46,,
DEBIT,05/29/2026,"M&M HELTON ENTERPRIS HOTPROSPECTOR NV        05/28",-40.00,DEBIT_CARD,6435.62,,
DEBIT,05/28/2026,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:9493560001 DESC DATE:260528 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000021622074 EED:260528   IND ID:A9430                        IND NAME:GABRIEL GOERTZEN                                                                                             AM TRN: 1481622074TC",-1797.17,ACH_DEBIT,6475.62,,
CREDIT,05/28/2026,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013041083 EED:260528   IND ID:ST-Y1J9Z8Q1N8W7              IND NAME:GABRIEL GOERTZEN TRN: 1483041083TC",2912.70,ACH_CREDIT,8272.79,,
DEBIT,05/27/2026,"WWW.MAKE.COM WWW.MAKE.COM NY                 05/27",-10.13,DEBIT_CARD,5360.09,,
CREDIT,05/27/2026,"ORIG CO NAME:STRIPE                 ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:111000023222874 EED:260527   IND ID:ST-A3K8N1U8G2P3              IND NAME:GABRIEL GOERTZEN TRN: 1473222874TC",2414.70,ACH_CREDIT,5370.22,,
DEBIT,05/26/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260526 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000021865711 EED:260526   IND ID:TrnWise                      IND NAME:Waiz Media                 96416819                                                                          96416819 TRN: 1461865711TC",-50.09,MISC_DEBIT,2955.52,,
DEBIT,05/26/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260526 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000021862795 EED:260526   IND ID:TrnWise                      IND NAME:Waiz Media                 96548235                                                                          96548235 TRN: 1461862795TC",-50.09,MISC_DEBIT,3005.61,,
DEBIT,05/26/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260526 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000021867832 EED:260526   IND ID:TrnWise                      IND NAME:Waiz Media                 96460487                                                                          96460487 TRN: 1461867832TC",-60.00,MISC_DEBIT,3055.70,,
DEBIT,05/26/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260526 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000021853264 EED:260526   IND ID:TrnWise                      IND NAME:Waiz Media                 96560857                                                                          96560857 TRN: 1461853264TC",-60.00,MISC_DEBIT,3115.70,,
DEBIT,05/26/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260526 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000021860962 EED:260526   IND ID:TrnWise                      IND NAME:Waiz Media                 96489824                                                                          96489824 TRN: 1461860962TC",-100.00,MISC_DEBIT,3175.70,,
